Date,Close
2016-02-17,58.14
2016-02-18,58.6
2016-02-19,58.72
2016-02-22,58.37
2016-02-23,58.82
2016-02-24,58.96
2016-02-25,60.14
2016-02-26,59
2016-02-29,58.85
2016-03-01,59.37
2016-03-02,59.53
2016-03-03,59.79
2016-03-04,60.2
2016-03-07,59.62
2016-03-08,59.95
2016-03-09,60.44
2016-03-10,60.53
2016-03-11,61.06
2016-03-14,60.89
2016-03-15,61.24
2016-03-16,61.39
2016-03-17,61.78
2016-03-18,61.79
2016-03-21,61.3
2016-03-22,60.79
2016-03-23,61.01
2016-03-24,61.36
2016-03-28,61.88
2016-03-29,62.94
2016-03-30,63.31
2016-03-31,63.35
2016-04-01,64.96
2016-04-04,65.36
2016-04-05,64.28
2016-04-06,64.14
2016-04-07,63.12
2016-04-08,63.3
2016-04-11,62.88
2016-04-12,63.46
2016-04-13,62.69
2016-04-14,62.11
2016-04-15,62.45
2016-04-18,62.53
2016-04-19,62.38
2016-04-20,61.64
2016-04-21,60.12
2016-04-22,60.56
2016-04-25,61.09
2016-04-26,60.71
2016-04-27,61.13
2016-04-28,61.26
2016-04-29,61.34
2016-05-02,62.22
2016-05-03,61.65
2016-05-04,61.74
2016-05-05,62.08
2016-05-06,62.11
2016-05-09,62.73
2016-05-10,63.73
2016-05-11,64.01
2016-05-12,64.72
2016-05-13,64.52
2016-05-16,64.57
2016-05-17,62.99
2016-05-18,62.39
2016-05-19,62.92
2016-05-20,62.45
2016-05-23,62.7
2016-05-24,62.4
2016-05-25,62.36
2016-05-26,62.87
2016-05-27,62.87
2016-05-31,62.78
2016-06-01,63.17
2016-06-02,63.23
2016-06-03,63.69
2016-06-06,63.58
2016-06-07,64.02
2016-06-08,64.42
2016-06-09,65.34
2016-06-10,65.41
2016-06-13,64.85
2016-06-14,65.04
2016-06-15,64.89
2016-06-16,65.78
2016-06-17,65.81
2016-06-20,65.88
2016-06-21,66.52
2016-06-22,66.4
2016-06-23,66.77
2016-06-24,66.14
2016-06-27,66.19
2016-06-28,65.76
2016-06-29,67.86
2016-06-30,71.32
2016-07-01,71.94
2016-07-05,72.11
2016-07-06,72.56
2016-07-07,72.02
2016-07-08,72.46
2016-07-11,71.81
2016-07-12,71.42
2016-07-13,71.94
2016-07-14,72.09
